,data,codigo,chuva
0,2025-01-01,1547079,1.0
1,2025-01-02,1547079,0.4
2,2025-01-03,1547079,0.0
3,2025-01-04,1547079,0.0
4,2025-01-05,1547079,13.799999999999999
5,2025-01-06,1547079,17.2
6,2025-01-07,1547079,2.0
7,2025-01-08,1547079,28.2
8,2025-01-09,1547079,16.6
9,2025-01-10,1547079,24.799999999999997
10,2025-01-11,1547079,0.2
11,2025-01-12,1547079,69.4
12,2025-01-13,1547079,17.599999999999998
13,2025-01-14,1547079,63.6
14,2025-01-15,1547079,3.2
15,2025-01-16,1547079,13.400000000000002
16,2025-01-17,1547079,12.2
17,2025-01-18,1547079,7.000000000000001
18,2025-01-19,1547079,42.2
19,2025-01-20,1547079,7.4
20,2025-01-21,1547079,22.0
21,2025-01-22,1547079,17.6
22,2025-01-23,1547079,0.6000000000000001
23,2025-01-24,1547079,0.0
24,2025-01-25,1547079,0.0
25,2025-01-26,1547079,0.0
26,2025-01-27,1547079,0.0
27,2025-01-28,1547079,0.2
28,2025-01-29,1547079,0.0
29,2025-01-30,1547079,10.0
30,2025-01-31,1547079,8.4
31,2025-02-01,1547079,3.2
32,2025-02-02,1547079,18.0
33,2025-02-03,1547079,13.0
34,2025-02-04,1547079,0.2
35,2025-02-05,1547079,0.0
36,2025-02-06,1547079,0.0
37,2025-02-07,1547079,0.0
38,2025-02-08,1547079,0.6
39,2025-02-09,1547079,0.0
40,2025-02-10,1547079,1.2
41,2025-02-11,1547079,20.4
42,2025-02-12,1547079,1.0
43,2025-02-13,1547079,0.2
44,2025-02-14,1547079,0.0
45,2025-02-15,1547079,0.0
46,2025-02-16,1547079,5.8
47,2025-02-17,1547079,2.8
48,2025-02-18,1547079,0.0
49,2025-02-19,1547079,0.0
50,2025-02-20,1547079,0.0
51,2025-02-21,1547079,0.0
52,2025-02-22,1547079,0.0
53,2025-02-23,1547079,0.0
54,2025-02-24,1547079,1.0
55,2025-02-25,1547079,5.199999999999999
56,2025-02-26,1547079,0.2
57,2025-02-27,1547079,0.0
58,2025-02-28,1547079,0.0
59,2025-03-01,1547079,0.0
60,2025-03-02,1547079,0.0
61,2025-03-03,1547079,0.0
62,2025-03-04,1547079,0.0
63,2025-03-05,1547079,0.0
64,2025-03-06,1547079,0.0
65,2025-03-07,1547079,0.0
66,2025-03-08,1547079,0.0
67,2025-03-09,1547079,0.0
68,2025-03-10,1547079,0.0
69,2025-03-11,1547079,0.0
70,2025-03-12,1547079,2.2
71,2025-03-13,1547079,14.0
72,2025-03-14,1547079,125.4
73,2025-03-15,1547079,5.4
74,2025-03-16,1547079,0.2
75,2025-03-17,1547079,0.0
76,2025-03-18,1547079,0.0
77,2025-03-19,1547079,0.2
78,2025-03-20,1547079,2.2
79,2025-03-21,1547079,0.0
80,2025-03-22,1547079,11.2
81,2025-03-23,1547079,2.2
82,2025-03-24,1547079,29.0
83,2025-03-25,1547079,2.0
84,2025-03-26,1547079,0.4
85,2025-03-27,1547079,8.6
86,2025-03-28,1547079,2.0
87,2025-03-29,1547079,0.0
88,2025-03-30,1547079,0.0
89,2025-03-31,1547079,0.0
90,2025-04-01,1547079,0.0
91,2025-04-02,1547079,0.0
92,2025-04-03,1547079,0.0
93,2025-04-04,1547079,0.4
94,2025-04-05,1547079,2.6
95,2025-04-06,1547079,1.2
96,2025-04-07,1547079,0.0
97,2025-04-08,1547079,0.0
98,2025-04-09,1547079,5.800000000000001
99,2025-04-10,1547079,0.4
100,2025-04-11,1547079,5.4
101,2025-04-12,1547079,0.0
102,2025-04-13,1547079,0.0
103,2025-04-14,1547079,40.0
104,2025-04-15,1547079,0.6000000000000001
105,2025-04-16,1547079,0.0
106,2025-04-17,1547079,9.8
107,2025-04-18,1547079,7.2
108,2025-04-19,1547079,4.6
109,2025-04-20,1547079,0.0
110,2025-04-21,1547079,0.0
111,2025-04-22,1547079,1.4
112,2025-04-23,1547079,0.0
113,2025-04-24,1547079,0.0
114,2025-04-25,1547079,0.0
115,2025-04-26,1547079,0.2
116,2025-04-27,1547079,2.6
117,2025-04-28,1547079,1.0
118,2025-04-29,1547079,0.2
119,2025-04-30,1547079,0.0
120,2025-05-01,1547079,0.0
121,2025-05-02,1547079,0.0
122,2025-05-03,1547079,0.0
123,2025-05-04,1547079,0.0
124,2025-05-05,1547079,0.0
125,2025-05-06,1547079,0.0
126,2025-05-07,1547079,0.0
127,2025-05-08,1547079,0.0
128,2025-05-09,1547079,0.0
129,2025-05-10,1547079,0.0
130,2025-05-11,1547079,0.0
131,2025-05-12,1547079,0.0
132,2025-05-13,1547079,0.0
133,2025-05-14,1547079,0.0
134,2025-05-15,1547079,0.0
135,2025-05-16,1547079,0.0
136,2025-05-17,1547079,0.0
137,2025-05-18,1547079,0.0
138,2025-05-19,1547079,0.0
139,2025-05-20,1547079,0.0
